name,price
Marill,127.0
Azumarill,175.0
Sudowoodo,54.0
Politoed,193.0
Hoppip,107.0
Skiploom,185.0
Jumpluff,107.0
Aipom,182.0
Sunkern,150.0
Sunflora,33.0
Yanma,130.0
Wooper,98.0
Quagsire,37.0
Espeon,177.0
Umbreon,78.0
Murkrow,178.0
Slowking,174.0
Misdreavus,33.0
Unown,198.0
Wobbuffet,107.0
Girafarig,99.0
Gligar,112.0
Steelix,116.0
Snubbull,63.0
Granbull,59.0
Qwilfish,77.0
Scizor,172.0
Shuckle,194.0
Heracross,143.0
Sneasel,108.0
Teddiursa,173.0
Ursaring,31.0
Magcargo,36.0
Swinub,132.0
Piloswine,84.0
Corsola,27.0
Remoraid,122.0
Octillery,94.0
Delibird,121.0
Mantine,114.0
Skarmory,199.0
Houndour,144.0
Houndoom,78.0
Kingdra,124.0
Phanpy,129.0
Donphan,89.0
Porygon2,151.0
Stantler,33.0
Smeargle,151.0
Tyrogue,145.0
Hitmontop,149.0
Smoochum,166.0
Elekid,104.0
Magby,40.0
Miltank,26.0
Blissey,31.0
Raikou,66.0
Entei,27.0
Suicune,68.0
Larvitar,26.0
Pupitar,114.0
Tyranitar,190.0
Lugia,86.0
Ho-oh,91.0
Celebi,111.0
Treecko,96.0
Grovyle,190.0
Sceptile,37.0
Torchic,28.0
Combusken,68.0
Blaziken,40.0
Mudkip,140.0
Marshtomp,152.0
Swampert,144.0
Poochyena,130.0
Mightyena,175.0
Zigzagoon,83.0
Linoone,81.0
Wurmple,195.0
Silcoon,80.0
Beautifly,145.0
Cascoon,166.0
Dustox,91.0
Lotad,161.0
Lombre,79.0
Ludicolo,189.0
Seedot,26.0
Nuzleaf,26.0
Shiftry,157.0
Taillow,85.0
Swellow,88.0
Wingull,153.0
Pelipper,158.0
Ralts,151.0
Kirlia,186.0
Gardevoir,34.0
Surskit,112.0
Masquerain,39.0
Shroomish,31.0
Breloom,113.0
Slakoth,69.0
Vigoroth,25.0
Slaking,119.0
Nincada,38.0
Ninjask,161.0
Shedinja,128.0
Whismur,137.0
Loudred,145.0
Exploud,161.0
Makuhita,30.0
Hariyama,176.0
Azurill,70.0
Nosepass,41.0
Skitty,156.0
Delcatty,170.0
Sableye,81.0
Mawile,119.0
Aron,149.0
Lairon,70.0
Aggron,140.0
Meditite,97.0
Medicham,77.0
Electrike,145.0
Manectric,76.0
Plusle,56.0
Minun,193.0
Volbeat,123.0
Illumise,167.0
Roselia,90.0
Gulpin,136.0
Swalot,130.0
Carvanha,25.0
Sharpedo,129.0
Wailmer,90.0
Wailord,150.0
Numel,170.0
Camerupt,124.0
Torkoal,98.0
Spoink,163.0
Grumpig,182.0
Spinda,149.0
Trapinch,116.0
Vibrava,200.0
Flygon,174.0
Cacnea,105.0
Cacturne,31.0
Swablu,121.0
Altaria,104.0
Seviper,107.0
Lunatone,177.0
Solrock,57.0
Whiscash,179.0
Corphish,178.0
Crawdaunt,173.0
Baltoy,167.0
Claydol,197.0
Lileep,87.0
Cradily,154.0
Anorith,64.0
Armaldo,42.0
Feebas,194.0
Milotic,152.0
Castform,119.0
Kecleon,100.0
Shuppet,174.0
Banette,104.0
Duskull,139.0
Dusclops,39.0
Tropius,196.0
Chimecho,51.0
Absol,134.0
Wynaut,168.0
Snorunt,82.0
Glalie,178.0
Spheal,193.0
Sealeo,160.0
Walrein,27.0
Clamperl,48.0
Huntail,52.0
Gorebyss,150.0
Relicanth,157.0
Luvdisc,44.0
Bagon,34.0
Shelgon,56.0
Salamence,62.0
Beldum,122.0
Metang,78.0
Metagross,170.0
Regirock,66.0
Regice,165.0
Registeel,196.0
Latias,126.0
Latios,166.0
Kyogre,27.0
Groudon,124.0
Rayquaza,97.0
Jirachi,111.0
Turtwig,101.0
Grotle,154.0
Torterra,87.0
Chimchar,143.0
Monferno,68.0
Infernape,165.0
Prinplup,177.0
Empoleon,42.0
Starly,59.0
Staravia,158.0
Staraptor,42.0
Bidoof,128.0
Bibarel,114.0
Kricketot,94.0
Kricketune,53.0
Shinx,149.0
Luxio,168.0
Luxray,43.0
Budew,171.0
Roserade,155.0
Cranidos,47.0
Rampardos,196.0
Shieldon,42.0
Bastiodon,191.0
Burmy,91.0
Mothim,177.0
Combee,111.0
Vespiquen,104.0
Pachirisu,151.0
Buizel,55.0
Floatzel,40.0
Cherubi,101.0
Cherrim,161.0
Shellos,163.0
Gastrodon,148.0
Ambipom,36.0
Drifloon,70.0
Drifblim,36.0
Buneary,180.0
Lopunny,123.0
Mismagius,38.0
Honchkrow,47.0
Glameow,39.0
Purugly,128.0
Stunky,106.0
Skuntank,112.0
Bronzong,110.0
Bonsly,106.0
Mime-jr,170.0
Happiny,67.0
Chatot,78.0
Spiritomb,165.0
Gible,194.0
Gabite,154.0
Garchomp,62.0
Munchlax,190.0
Riolu,70.0
Lucario,102.0
Hippopotas,189.0
Hippowdon,140.0
Skorupi,51.0
Drapion,72.0
Croagunk,145.0
Toxicroak,145.0
Carnivine,60.0
Finneon,172.0
Lumineon,72.0
Mantyke,121.0
Snover,104.0
Abomasnow,46.0
Magnezone,190.0
Lickilicky,101.0
Rhyperior,79.0
Tangrowth,108.0
Electivire,61.0
Magmortar,200.0
Togekiss,158.0
Yanmega,121.0
Leafeon,93.0
Glaceon,142.0
Gliscor,28.0
Mamoswine,104.0
Gallade,149.0
Probopass,181.0
Dusknoir,158.0
Froslass,86.0
Rotom,42.0
Uxie,200.0
Mesprit,25.0
Azelf,32.0
Dialga,179.0
Palkia,151.0
Heatran,142.0
Regigigas,77.0
Cresselia,34.0
Phione,155.0
Manaphy,74.0
Darkrai,59.0
Arceus,53.0
Victini,109.0
Snivy,102.0
Servine,154.0
Serperior,88.0
Tepig,195.0
Pignite,149.0
Emboar,32.0
Oshawott,194.0
Dewott,57.0
Samurott,106.0
Patrat,116.0
Watchog,141.0
Lillipup,28.0
Herdier,164.0
Stoutland,37.0
Purrloin,167.0
Liepard,104.0
Pansage,197.0
Simisage,98.0
Pansear,194.0
Simisear,38.0
Panpour,52.0
Simipour,61.0
Munna,172.0
Musharna,58.0
Pidove,172.0
Tranquill,199.0
Unfezant,135.0
Zebstrika,138.0
Roggenrola,41.0
Boldore,76.0
Gigalith,67.0
Woobat,27.0
Swoobat,49.0
Drilbur,132.0
Excadrill,36.0
Audino,95.0
Timburr,194.0
Gurdurr,179.0
Conkeldurr,72.0
Palpitoad,117.0
Seismitoad,90.0
Throh,43.0
Sawk,129.0
Sewaddle,40.0
Swadloon,107.0
Leavanny,130.0
Venipede,87.0
Whirlipede,84.0
Scolipede,153.0
Cottonee,77.0
Whimsicott,26.0
Petilil,118.0
Lilligant,137.0
Sandile,136.0
Krokorok,135.0
Krookodile,185.0
Darumaka,106.0
Maractus,31.0
Dwebble,75.0
Crustle,105.0
Scraggy,112.0
Scrafty,137.0
Sigilyph,68.0
Yamask,171.0
Cofagrigus,160.0
Tirtouga,60.0
Carracosta,158.0
Archen,140.0
Archeops,126.0
Trubbish,169.0
Garbodor,178.0
Zorua,81.0
Minccino,79.0
Cinccino,154.0
Gothita,68.0
Gothorita,189.0
Gothitelle,164.0
Solosis,134.0
Duosion,71.0
Reuniclus,168.0
Ducklett,159.0
Swanna,36.0
Vanillite,108.0
Vanillish,93.0
Vanilluxe,89.0
Deerling,141.0
Sawsbuck,76.0
Karrablast,41.0
Escavalier,189.0
Foongus,129.0
Frillish,63.0
Jellicent,114.0
Alomomola,35.0
Joltik,59.0
Galvantula,57.0
Ferroseed,81.0
Ferrothorn,182.0
Klink,75.0
Klang,162.0
Klinklang,178.0
Tynamo,82.0
Eelektrik,198.0
Eelektross,123.0
Elgyem,107.0
Beheeyem,34.0
Litwick,37.0
Lampent,157.0
Axew,123.0
Fraxure,64.0
Haxorus,135.0
Cubchoo,62.0
Beartic,28.0
Cryogonal,72.0
Shelmet,190.0
Accelgor,129.0
Stunfisk,67.0
Mienfoo,197.0
Mienshao,50.0
Druddigon,110.0
Golett,89.0
Golurk,74.0
Pawniard,37.0
Bisharp,129.0
Bouffalant,59.0
Rufflet,60.0
Braviary,83.0
Vullaby,61.0
Mandibuzz,89.0
Heatmor,81.0
Durant,28.0
Deino,63.0
Zweilous,199.0
Hydreigon,86.0
Volcarona,94.0
Cobalion,111.0
Terrakion,87.0
Virizion,156.0
Reshiram,147.0
Zekrom,135.0
Genesect,173.0
Chespin,185.0
Quilladin,161.0
Chesnaught,96.0
Fennekin,123.0
Braixen,59.0
Delphox,170.0
Froakie,38.0
Frogadier,125.0
Greninja,42.0
Bunnelby,66.0
Fletchling,43.0
Fletchinder,147.0
Talonflame,84.0
Scatterbug,40.0
Spewpa,155.0
Vivillon,177.0
Litleo,34.0
Pyroar,127.0
Flabebe,79.0
Floette,149.0
Florges,93.0
Skiddo,129.0
Gogoat,97.0
Pangoro,76.0
Furfrou,165.0
Espurr,149.0
Honedge,101.0
Doublade,164.0
Spritzee,58.0
Aromatisse,194.0
Swirlix,90.0
Slurpuff,66.0
Inkay,38.0
Malamar,58.0
Binacle,102.0
Barbaracle,165.0
Skrelp,63.0
Dragalge,151.0
Clauncher,29.0
Clawitzer,69.0
Helioptile,62.0
Heliolisk,83.0
Tyrunt,62.0
Tyrantrum,26.0
Amaura,155.0
Aurorus,189.0
Sylveon,48.0
Hawlucha,44.0
Dedenne,118.0
Carbink,171.0
Goomy,110.0
Sliggoo,109.0
Goodra,192.0
Klefki,179.0
Trevenant,53.0
Bergmite,119.0
Avalugg,71.0
Noibat,126.0
Noivern,75.0
Xerneas,30.0
Yveltal,59.0
Zygarde,83.0
Diancie,27.0
Hoopa,189.0
Volcanion,45.0
Dartrix,169.0
Decidueye,106.0
Litten,132.0
Torracat,184.0
Incineroar,36.0
Popplio,158.0
Brionne,172.0
Primarina,143.0
Pikipek,51.0
Trumbeak,59.0
Toucannon,77.0
Yungoos,159.0
Gumshoos,123.0
Grubbin,77.0
Charjabug,76.0
Vikavolt,88.0
Crabrawler,181.0
Crabominable,65.0
Cutiefly,118.0
Ribombee,100.0
Rockruff,149.0
Mareanie,47.0
Toxapex,91.0
Mudbray,96.0
Mudsdale,111.0
Dewpider,84.0
Araquanid,48.0
Fomantis,104.0
Lurantis,159.0
Morelull,87.0
Shiinotic,75.0
Salandit,158.0
Salazzle,166.0
Stufful,70.0
Bewear,117.0
Bounsweet,193.0
Steenee,27.0
Tsareena,186.0
Comfey,28.0
Oranguru,139.0
Passimian,182.0
Wimpod,137.0
Golisopod,32.0
Sandygast,131.0
Palossand,187.0
Pyukumuku,97.0
Silvally,133.0
Komala,65.0
Turtonator,117.0
Togedemaru,45.0
Drampa,133.0
Jangmo-o,107.0
Hakamo-o,57.0
Kommo-o,170.0
Tapu-koko,159.0
Tapu-lele,62.0
Tapu-bulu,165.0
Tapu-fini,123.0
Solgaleo,125.0
Lunala,58.0
Nihilego,67.0
Buzzwole,172.0
Pheromosa,62.0
Xurkitree,174.0
Celesteela,151.0
Kartana,197.0
Guzzlord,73.0
Necrozma,68.0
Marshadow,107.0
Poipole,130.0
Naganadel,30.0
Stakataka,190.0
Blacephalon,149.0
